universidade;curso;campus;turno/grau;redacao;ciencias humanas;ciencias da natureza;linguagens e codigos;matematica;soma pesos;nota corte
UFMG;GEOGRAFIA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;669,92
UFMG;CIÊNCIAS SOCIOAMBIENTAIS;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;677,8
UFMG;LETRAS;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;680,22
UFMG;LETRAS;Câmpus Pampulha;Noturno (Licenciatura);1;1;1;1;1;5;681,94
UFMG;PEDAGOGIA;Câmpus Pampulha;Noturno (Licenciatura);1;1;1;1;1;5;683,34
UFMG;PEDAGOGIA;Câmpus Pampulha;Matutino (Licenciatura);1;1;1;1;1;5;683,9
UFMG;TEATRO;Câmpus Pampulha;Matutino (Licenciatura);1;1;1;1;1;5;684,6
UFMG;CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;690,72
UFMG;AGRONOMIA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;692,44
UFMG;EDUCAÇÃO FÍSICA;Câmpus Pampulha;Matutino (Licenciatura);1;1;1;1;1;5;697,78
UFMG;QUÍMICA TECNOLÓGICA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;697,84
UFMG;ANTROPOLOGIA E ARQUEOLOGIA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;698,42
UFMG;GESTÃO PÚBLICA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;700,26
UFMG;GEOGRAFIA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;700,64
UFMG;FILOSOFIA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;702,44
UFMG;QUÍMICA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;702,86
UFMG;TEATRO;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;704,7
UFMG;MATEMÁTICA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;704,88
UFMG;LETRAS;Câmpus Pampulha;Matutino (Licenciatura);1;1;1;1;1;5;706,06
UFMG;CIÊNCIAS SOCIAIS;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;706,2
UFMG;EDUCAÇÃO FÍSICA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;706,92
UFMG;EDUCAÇÃO FÍSICA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;710,46
UFMG;FILOSOFIA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;710,68
UFMG;LETRAS;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;710,92
UFMG;CIÊNCIAS DO ESTADO;Câmpus Pampulha;Vespertino (Bacharelado);1;1;1;1;1;5;713,04
UFMG;CIÊNCIAS BIOLÓGICAS;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;713,78
UFMG;MATEMÁTICA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;714,32
UFMG;ADMINISTRAÇÃO (MONTES CLAROS);Câmpus Montes Claros;Noturno (Bacharelado);1;1;1;1;1;5;715,8
UFMG;TERAPIA OCUPACIONAL;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;715,86
UFMG;FÍSICA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;716,14
UFMG;HISTÓRIA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;716,32
UFMG;GEOLOGIA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;717,82
UFMG;CIÊNCIAS ATUARIAIS;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;720,7
UFMG;CIÊNCIAS CONTÁBEIS;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;727,18
UFMG;FÍSICA;Câmpus Pampulha;Vespertino (Bacharelado);1;1;1;1;1;5;729,96
UFMG;DESIGN;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;730,54
UFMG;RELAÇÕES PÚBLICAS;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;730,78
UFMG;FONOAUDIOLOGIA;Câmpus Pampulha;Integral (Bacharelado);1;1;1;1;1;5;732,26
UFMG;CONTROLADORIA E FINANÇAS;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;732,58
UFMG;QUÍMICA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;733,78
UFMG;HISTÓRIA;Câmpus Pampulha;Vespertino (Bacharelado);1;1;1;1;1;5;735,02
UFMG;FARMÁCIA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;735,82
UFMG;ENFERMAGEM;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;737,12
UFMG;JORNALISMO;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;739,68
UFMG;ADMINISTRAÇÃO;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;739,9
UFMG;CIÊNCIAS BIOLÓGICAS;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;741,28
UFMG;ENGENHARIA CIVIL;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;743,1
UFMG;ESTATÍSTICA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;743,42
UFMG;PUBLICIDADE E PROPAGANDA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;744,94
UFMG;NUTRIÇÃO;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;745,28
UFMG;FARMÁCIA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;746,12
UFMG;ADMINISTRAÇÃO;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;746,56
UFMG;ARQUITETURA E URBANISMO;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;747,9
UFMG;JORNALISMO;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;752,42
UFMG;FISIOTERAPIA;Câmpus Pampulha;Integral (Bacharelado);1;1;1;1;1;5;753,8
UFMG;MEDICINA VETERINÁRIA;Câmpus Pampulha;Integral (Bacharelado);1;1;1;1;1;5;755,62
UFMG;ENGENHARIA MECÂNICA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;757,32
UFMG;RELAÇÕES ECONÔMICAS INTERNACIONAIS;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;761,56
UFMG;MATEMÁTICA COMPUTACIONAL;Câmpus Pampulha;Vespertino (Bacharelado);1;1;1;1;1;5;763,06
UFMG;CIÊNCIA DE DADOS;Câmpus Pampulha;Vespertino (Bacharelado);1;1;1;1;1;5;764
